변경ID,일시,작업ID,화면,요소,속성,이전 값,변경 값,상태,비고
"CH-0016","2026-09-24 18:51","QF-067","PC 좌측 필터","제조사 아코디언","제목 문구","제조사 · 모델","제조사 · 모델 · 등급","예정","14px 600 #222 그대로"
"CH-0017","2026-09-24 18:51","QF-067","PC 좌측 필터","제조사 아코디언","위치","27개 중 3번째(바디타입·차급 다음)","1번째(맨 위), 나머지 26개 순서 그대로, 기본 펼침","예정",""
"CH-0018","2026-09-24 18:51","QF-067","PC 좌측 필터","제조사 아코디언","드릴다운 동작","제조사 목록 1단계(누르면 제조사 필터만 적용)","제조사 → 모델 → 등급 3단계를 사이드바 안에서 이동(모달 없음). 뒤로 행 '‹ 제조사/모델' 14px 600 #222 높이 40, 스크롤해도 위에 고정(sticky). 목록은 아코디언 안 최대 580 스크롤. 선택은 퀵필터 레일·상단 요약 칩과 같은 상태(모델=퀵필터 모델, 세대 묶음=퀵필터 세대, 등급=퀵필터 트림)","예정","퀵필터에서 고르면 사이드바도 같은 단계로 열림"
"CH-0019","2026-09-24 18:51","QF-067","PC 좌측 필터","제조사 아코디언","선택 경로 표시","없음","접힘: 제목 아래 '벤츠 › E클래스 › 등급 2개' 12px 500 #1B4C8C(선택 없으면 숨김). 펼침: 맨 위 단계별 해제 칩(높이 28, #F2F6FB 배경, 1px #1B4C8C, 12px 600) — ×는 그 단계와 아래 단계 함께 해제. 머리 '초기화'(12px 600 #767676 밑줄)는 이 항목만 해제","예정","세대만 고르고 등급이 없으면 세 번째 칩은 세대명(예: 6세대 W214)"
"CH-0020","2026-09-24 18:51","QF-067","PC 좌측 필터","제조사 아코디언","등급 목록","없음","세대별 묶음 제목 '6세대 W214 · 23~현재' 13px 500 #9E9E9E → 등급 행(체크박스 18 + 이름 14px 400 #1A1A1A + 매물 수 12px 500 #9E9E9E, 높이 40, 여러 개 선택, 0대 비활성 #C0C0C0). 세대 데이터 없는 모델은 묶음 제목 없이 등급만, 등급도 없으면 '등급 정보 없음'","예정","다른 세대의 등급을 고르면 세대가 바뀌고 이전 세대 등급 선택은 풀림(퀵필터 트림과 같은 규칙)"
"CH-0021","2026-09-24 20:14","QF-076","PC 좌측 필터 모달","아래 버튼","확인 버튼 숫자","확인 14,847대(원본 전체 매물 수)","확인 N대(지금 목록 수)","예정","이번 과제는 제조사·모델·등급 외 필터로 목록을 거르지 않으므로 확인은 모달만 닫는다"
"CH-0022","2026-09-24 20:14","QF-076","PC 좌측 필터 모달","색 칩·변속기·구간 칩","선택된 모양","원본 선택 상태 미수집","색 칩·구간 칩: 흰 배경 + 1px #1B4C8C 테두리 + #1B4C8C 글자 / 변속기·광고기간: #1B4C8C 채움 + 흰 글자","예정","광고기간 '전체' 선택 모양(#1B4C8C 채움)만 원본에서 확인"
"CH-0023","2026-09-24 20:14","QF-076","PC 좌측 필터 모달","범위 막대(최고출력·연비·배기량·공차중량·크기·전기차 주행 가능 거리)","동작","손잡이를 끌어 범위 선택","모양만(양 끝 손잡이 + #1B4C8C 막대), 값과 연결 안 함","예정","목록 거르기를 붙이는 과제에서 연결"
"CH-0024","2026-09-24 20:14","QF-076","PC 좌측 필터","제조사·모델 제외하기","버튼·모달","'제조사·모델 제외하기' 버튼 → 412 모달","없음","예정","QF-067 제조사 · 모델 · 등급을 유지하므로 만들지 않음"
"CH-0025","2026-09-24 20:14","QF-076","PC 좌측 필터 모달","외부색상·시트색상 색 동그라미","색","원본 색 칩 이미지","색 이름에 맞춰 새로 정한 CSS 색(투톤은 반반 그라데이션)","예정","원본 이미지는 복사하지 않음"
"CH-0026","2026-09-24 21:00","QF-091","PC·모바일 과쯔 상단","차량 유형 줄","유형 선택 후 모양","원본: 유형 아이콘 줄이 그대로 남음","유형을 고르면 같은 자리가 퀵필터 레일(제조사 단계부터)로 바뀌고, 요약 칩 ×로 유형까지 풀면 다시 원본 유형 줄","예정","원본과 다른 유일한 개선. 퀵필터 레일 규격·동작은 그대로"
"CH-0027","2026-09-24 21:00","QF-091","PC 좌측 필터","제조사 · 모델","안쪽 동작","원본: 제조사 목록(국산·수입 인기·이름순)","제목·위치(3번째)는 원본대로, 안쪽은 QF-067 제조사 → 모델 → 등급 드릴다운(퀵필터와 같은 상태) 유지","예정","CH-0016 의 제목·위치 변경은 되돌림"
"CH-0028","2026-09-24 21:00","QF-091","PC·모바일 매물 카드","월·년형·마력·배지","값","원본 실제 매물 값","우리 데이터에 없어 매물 id 로 정해지는 샘플 값(src/prototype/data/bbm-card-samples.ts)","예정","모양을 맞추기 위한 값, 실제 매물 정보 아님"
"CH-0029","2026-09-24 22:20","QF-090","PC·모바일 과쯔 필터","목록 거르기","범위","원본: 모든 필터가 목록을 거름","우리 데이터에 값이 있는 항목만 거름(바디타입·연식·주행거리·가격·연료·변속기·인승·외부색상·판매자 구분 중 딜러·개인·지역·영상 매물·제조사·모델·등급). 차급·매매단지·구동방식·성능·보험·판매방식·시트색상·옵션·최고출력·연비·배기량·공차중량·크기·전기차 주행 가능 거리·차량 특징·광고기간·차량번호/판매자와 판매자 구분의 인증차량 등 4개는 선택 표시만(선택지 옆 숫자는 원본 숫자 글자)","예정","데이터가 생기면 BBM_DATA_* 에 추가"
"CH-0030","2026-09-24 22:20","QF-090","과쯔 샘플 매물","매물 수","19대","60대(기존 19대 + 차종·사진을 재사용한 41대, 연식·주행·가격·연료·바디·색상·인승·변속기·판매자·지역·영상 값만 섞음). 다섯 대에 한 대는 SUV·디젤·3천만원대","예정","초톳·동처띠는 기존 19대 그대로. 새 이미지 없음"
"CH-0031","2026-09-24 22:20","QF-089","PC·모바일 과쯔 상단","차량 유형 줄","원본: 유형 아이콘 줄 유지","유형을 고르면 퀵필터 레일(제조사 단계부터)로 전환(CH-0026 유지)","예정","원본은 제조사를 고르면 모델 칩 줄이 나오지만 우리는 퀵필터 레일"
"CH-0032","2026-09-24 22:20","QF-089","PC 좌측 필터","제조사 · 모델","원본: 제조사 목록 → 고르면 모델 목록","QF-067 제조사 → 모델 → 등급 드릴다운 유지(CH-0027 유지)","예정","제조사를 고르면 상단 칩은 원본처럼 [현대 ×][모델]"
"CH-0033","2026-09-24 22:20","QF-089","PC·모바일 적용 칩","순서","원본 규칙 미공개","원본 실측 두 번(바디타입 → 연료 → 가격 / 연식 → 인승 → 판매자 구분 → 주행거리)을 모두 만족하는 고정 순서로 추정","예정","다른 항목 사이 순서는 추정"
"CH-0034","2026-09-24 22:20","QF-085","PC·모바일 제조사 칩 창","매물 수","원본 매물 수","우리 샘플 매물로 계산(제조사·모델만 뺀 지금 조건), 0대는 흐리게. 로고는 퀵필터 제조사 로고","예정","원본 로고 이미지는 쓰지 않음"
"CH-0035","2026-09-24 23:40","QF-090","과쯔 샘플 매물","매물 수","60대(RV·화물 0대)","64대: RV 카니발 2대(기존 카니발 사진 재사용)·화물 포터2·봉고3 2대(기존 트럭 유형 아이콘을 사진 자리에 사용). 대응표에 RV→RV 추가","예정","새 이미지 없음. 화물 2대는 실사 사진이 아니라 유형 아이콘"
"CH-0036","2026-09-24 23:40","QF-089","모바일 칩 줄 스크롤","기준 칩","새 적용 칩을 47px 에","맨 앞 적용 칩을 47px 에(원본 3회 실측과 모두 일치)","예정","-"
"CH-0037","2026-09-25 00:40","QF-092","PC·모바일 과쯔 정렬","실제 정렬","원본 10개 모두 정렬","등록순·가격 낮은/높은순·연식 최신순·주행거리 짧은순만 실제 정렬. 최고출력순·연비순·제시신고순·가까운순은 선택 표시만(업데이트순 순서)","예정","우리 매물 데이터에 마력·연비·제시신고·거리 값이 없음"
"CH-0038","2026-09-25 00:40","QF-092","PC·모바일 과쯔 보기 방식","동작","원본: 4개(PC)·6개(모바일) 모두 동작","목록으로 보기만 동작, 나머지는 ""준비 중"" 안내","예정","다음 과제. 모바일은 지시문의 4개가 아니라 원본 모바일 시트 6개(피드·텍스트로 보기 포함)"
"CH-0039","2026-09-25 00:40","QF-092","모바일 과쯔 스크롤 구조","스크롤","원본: 페이지(창) 스크롤","보호 런타임의 안쪽 스크롤 상자(.mobile-scroll) 그대로. 칩 줄 고정·페이지 이동 뒤 위치는 그 상자 기준으로 원본과 같게","예정","페이지 스크롤로 바꾸려면 보호 파일 src/styles.css 의 body overflow hidden·.mobile-page 절대 위치와 src/mobile/MobileScroll 의 끌기·관성 처리를 덮어써야 함"
"CH-0040","2026-09-25 00:40","QF-092","모바일 칩 줄 스크롤","칩 누른 뒤 시트를 닫을 때","원본: 칩 줄이 끝까지 밀린 상태에서 시트를 닫으면 5px 덜 밀린 위치(190)로 한 번 움직임","우리는 그대로(195)","예정","원본 규칙을 찾지 못함(스냅·앵커링·최대값 아님). 비교 시나리오는 칩 줄이 밀리지 않는 전체 필터 경로로 확인"
"CH-0041","2026-09-25 00:40","QF-092","과쯔 샘플 화물 2대","사진","기존 트럭 아이콘을 사진 자리에","사진 없음 → 원본 카드 빈 사진 자리(#EBEBEB 회색 칸). RV 2대는 기존 카니발 사진(detail/raw-09.jpeg)","예정","새 이미지 없음"
"CH-0042","2026-09-25 14:20","QF-093","PC 과쯔 상단 패널","폭","876(목록 칸 안)","1200(본문 폭 전체). 안쪽 여백·모서리·배경·줄 간격은 그대로","예정","개발팀·디자이너 합의가 필요한 배치 변경"
"CH-0043","2026-09-25 14:20","QF-093","PC 과쯔 상단 패널","위치","목록 칸 안 맨 위(좌측 필터 오른쪽)","헤더 아래 24, 좌측 필터·목록 위를 가로지르는 전체 폭 영역(참고: 검트리 UK)","예정","개발팀·디자이너 합의가 필요한 배치 변경"
"CH-0044","2026-09-25 14:20","QF-093","PC 과쯔 차량 유형 줄 / 퀵필터 레일","폭","876","1200(레일 규격 96 · 카드 80×72 · 이미지 56×28 그대로). 1440에서 완전히 보이는 제조사 카드 9개 → 13개","예정","개발팀·디자이너 합의가 필요한 배치 변경"
"CH-0045","2026-09-25 14:20","QF-093","PC 과쯔 좌측 필터","시작 위치","헤더 아래 24(상단 패널과 같은 줄, y 141)","상단 영역 아래 24(목록 툴바와 같은 줄, 1440에서 y 412). 좌측 필터 윗선 = 목록 툴바 윗선","예정","개발팀·디자이너 합의가 필요한 배치 변경"
