일시,작업ID,화면 위치,아이콘 파일,크기,노션 행 이름,노션 카테고리,상태,비고
"2026-09-24 18:51","QF-067","PC 좌측 필터 · 제조사·모델·등급 뒤로 행","public/assets/icons/bb/chevron-left.svg","20","셰브론_좌","셰브론_화살표","예정","currentColor 변환"
"2026-09-24 18:51","QF-067","PC 좌측 필터 · 등급 체크박스 안 체크 표시","public/assets/icons/bb/check.svg","14","체크마크","아이콘 배경","예정","노션에 체크박스(네모 틀) SVG가 없어 틀은 CSS(18, 1.5px #C0C0C0, 선택 시 #1B4C8C 채움)"
"2026-09-24 18:51","QF-067","PC 좌측 필터 · 아코디언 셰브론","public/assets/icons/bb/chevron-down.svg","20","셰브론_아래","셰브론_화살표","예정","기존(OP-010) 아이콘 그대로 사용"
"2026-09-24 20:14","QF-076","PC 필터 모달 · 머리 오른쪽 닫기","public/assets/icons/bb/close.svg","24(글리프 1.5배)","닫기_X","셰브론_화살표","예정","currentColor 변환. 노션 글리프가 24 안에 10px라 원본 X(약 16px)에 맞춰 1.5배"
"2026-09-24 21:00","QF-091","PC 헤더 · 검색/마이페이지/찜/채팅/알림/메뉴","public/assets/bbm/header-*.svg","24","검색·사용자·즐겨찾기·채팅·알림·메뉴(노션)","개발 시안 원본","되돌림","검색·사용자·즐겨찾기·채팅·알림·메뉴(노션) → 개발 시안 원본 아이콘(원본 파일 그대로)"
"2026-09-24 21:00","QF-091","PC 헤더 · 로고·유틸 구분선·더보기","public/assets/bbm/header-logo.svg · header-top-divider.svg · gnb-more.svg","113.9×28 · 1×8 · 18","pc-detail 로고 · 셰브론_아래(노션)","개발 시안 원본","되돌림","pc-detail 로고 · 셰브론_아래(노션) → 개발 시안 원본 아이콘(원본 파일 그대로)"
"2026-09-24 21:00","QF-091","PC 상단 패널 · 검색저장·필터 칩·칩 ×·칩 ▾","public/assets/bbm/search-save.svg · chip-filter.svg · chip-remove.svg · chip-chevron-down.svg","20","북마크·필터(노션)","개발 시안 원본","되돌림","북마크·필터(노션) → 개발 시안 원본 아이콘(원본 파일 그대로)"
"2026-09-24 21:00","QF-091","PC 목록 툴바 · 정렬 ▾·목록형","public/assets/bbm/toolbar-sort-chevron.svg · toolbar-view-list.svg","18 · 20","셰브론_아래·목록(노션)","개발 시안 원본","되돌림","셰브론_아래·목록(노션) → 개발 시안 원본 아이콘(원본 파일 그대로)"
"2026-09-24 21:00","QF-091","PC·모바일 카드 · 사진 수·위치·채팅·찜","public/assets/bbm/card-photo-count.svg · card-location.svg · card-chat.svg · card-wish-off.svg","12 · 16 · 24(모바일 찜 20)","사진·위치·채팅·즐겨찾기(노션)","개발 시안 원본","되돌림","사진·위치·채팅·즐겨찾기(노션) → 개발 시안 원본 아이콘(원본 파일 그대로)"
"2026-09-24 21:00","QF-091","PC 좌측 필터 · 셰브론·전기차 번개","public/assets/bbm/filter-chevron.svg · filter-ev-range.svg","20 · 18","셰브론_아래(노션) · 없음","개발 시안 원본","되돌림","셰브론_아래(노션) · 없음 → 개발 시안 원본 아이콘(원본 파일 그대로)"
"2026-09-24 21:00","QF-091","모바일 과쯔 헤더 · 뒤로·검색·검색저장·찜·채팅","public/assets/bbm/m-header-*.svg","24 · 검색 20","assets/ui 기본 아이콘","개발 시안 원본","되돌림","assets/ui 기본 아이콘 → 개발 시안 원본 아이콘(원본 파일 그대로)"
"2026-09-24 21:00","QF-091","모바일 과쯔 지역·정렬·하단 탭바·전체 필터 닫기","public/assets/bbm/m-region-*.svg · m-toolbar-sort.svg · m-gnb-*.svg · m-full-close.svg","20 · 10×5 · 18 · 24 · 32","assets/ui 기본 아이콘","개발 시안 원본","되돌림","assets/ui 기본 아이콘 → 개발 시안 원본 아이콘(원본 파일 그대로)"
"2026-09-24 21:00","QF-091","PC·모바일 차량 유형 줄","public/assets/bbm/category-*.svg","24(원형 44 안)","퀵필터 0단계 유형 이미지","개발 시안 원본","되돌림","퀵필터 0단계 유형 이미지 → 개발 시안 원본 아이콘(원본 파일 그대로)"
"2026-09-24 22:20","QF-086","PC 필터 모달 · 모바일 시트 머리 닫기","public/assets/bbm/modal-close.svg","24","닫기_X(노션, 1.5배)","개발 시안 원본","되돌림","원본 필터 모달 닫기 아이콘 파일로 교체"
